CMDLINE python realtime_serial.py
MEM 381.359375 1675699004.3812
MEM 381.359375 1675699004.4813
MEM 381.359375 1675699004.5815
MEM 381.359375 1675699004.6816
MEM 381.359375 1675699004.7818
MEM 381.359375 1675699004.8819
MEM 381.359375 1675699004.9821
MEM 381.359375 1675699005.0823
MEM 381.359375 1675699005.1825
MEM 381.359375 1675699005.2827
MEM 381.359375 1675699005.3829
MEM 381.359375 1675699005.4831
MEM 381.359375 1675699005.5833
MEM 381.359375 1675699005.6835
MEM 381.359375 1675699005.7837
MEM 381.359375 1675699005.8839
MEM 381.359375 1675699005.9840
MEM 381.414062 1675699006.0842
MEM 381.609375 1675699006.1843
MEM 381.609375 1675699006.2845
MEM 381.609375 1675699006.3847
MEM 381.609375 1675699006.4849
MEM 381.609375 1675699006.5851
MEM 381.609375 1675699006.6853
MEM 381.609375 1675699006.7855
MEM 381.609375 1675699006.8856
MEM 381.609375 1675699006.9858
MEM 381.609375 1675699007.0860
MEM 381.609375 1675699007.1862
MEM 381.609375 1675699007.2863
MEM 381.609375 1675699007.3865
MEM 381.609375 1675699007.4867
MEM 381.609375 1675699007.5869
MEM 381.609375 1675699007.6871
MEM 381.609375 1675699007.7873
MEM 381.609375 1675699007.8875
MEM 381.609375 1675699007.9877
MEM 381.609375 1675699008.0879
MEM 381.609375 1675699008.1881
MEM 381.609375 1675699008.2883
MEM 381.609375 1675699008.3885
MEM 381.609375 1675699008.4887
MEM 381.609375 1675699008.5889
MEM 381.609375 1675699008.6892
